name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
千与千寻,https://movie.douban.com/subject/1291561/,9.3,1024819,宫崎骏,宫崎骏,柊瑠美/入野自由/夏木真理/菅原文太/中村彰男/玉井夕海/神木隆之介/内藤刚志/泽口靖子/我修院达也/大泉洋/小林郁夫/上条恒彦/小野武彦,剧情/动画/奇幻,日本,日语,2001,125分钟,(全部165038条),(全部3093条)
三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,9.2,992728,拉吉库马尔·希拉尼,维德胡·维诺德·乔普拉,阿米尔·汗/卡琳娜·卡普尔/马达范/沙尔曼·乔希/奥米·瓦依达/博曼·伊拉尼/莫娜·辛格/拉杰夫·拉宾德拉纳特安,剧情/喜剧/爱情/歌舞,印度,印地语/乌尔都语/英语,2009,171分钟,(全部209538条),(全部3960条)
忠犬八公的故事,https://movie.douban.com/subject/3011091/,9.3,728321,拉斯·霍尔斯道姆,斯蒂芬·P·林赛,理查·基尔/萨拉·罗默尔/琼·艾伦/罗比·萨布莱特/艾瑞克·阿瓦利/田川洋行/杰森·亚历山大/罗伯特·卡普荣,剧情,美国/英国,英语/日语,2009,93分钟,(全部162005条),(全部3089条)
当幸福来敲门,https://movie.douban.com/subject/1849031/,9.0,803254,加布里埃莱·穆奇诺,斯蒂夫·康拉德,威尔·史密斯/贾登·史密斯/坦迪·牛顿/布莱恩·豪威/詹姆斯·凯伦/丹·卡斯泰兰尼塔/柯特·富勒/塔卡尤·费舍尔/凯文·韦斯特/乔治·张/戴维·迈克尔·西尔弗曼/多米尼克·博夫/杰弗·卡伦/乔伊芙·拉文/斯科特·克拉斯,剧情/家庭/传记,美国,英语/粤语,2006,117分钟,(全部127267条),(全部3425条)
阿凡达,https://movie.douban.com/subject/1652587/,8.7,734619,詹姆斯·卡梅隆,詹姆斯·卡梅隆,萨姆·沃辛顿/佐伊·索尔达娜/西格妮·韦弗/史蒂芬·朗/米歇尔·罗德里格兹/吉奥瓦尼·瑞比西/乔·大卫·摩尔/希·庞德/韦斯·斯塔迪/拉兹·阿隆索/迪利普·劳/马特·杰拉德/肖恩·安东尼·莫兰,动作/科幻/战争/冒险,美国/英国,英语/西班牙语,2009,162分钟,(全部126064条),(全部4221条)
放牛班的春天,https://movie.douban.com/subject/1291549/,9.3,687191,克里斯托夫·巴拉蒂,乔治·沙普罗,热拉尔·朱尼奥/弗朗索瓦·贝莱昂/凯德·麦拉德/让-保罗·博奈雷/玛丽·布奈尔/让-巴蒂斯特·莫尼耶/马科森斯·珀林/格雷戈里·加迪诺尔/托马斯·布伦门塔尔/西里尔·伯尔尼科特/西蒙·法戈特/泰奥杜尔·卡雷-卡赛尼/菲利普·杜·詹纳兰德/埃里克·德斯玛莱茨/狄迪尔·弗拉蒙/雅克·贝汉,剧情/音乐,法国/瑞士/德国,法语,2004,97分钟,(全部115634条),(全部2364条)
机器人总动员,https://movie.douban.com/subject/2131459/,9.3,732590,安德鲁·斯坦顿,安德鲁·斯坦顿,本·贝尔特/艾丽莎·奈特/杰夫·格尔林/佛莱德·威拉特/西格妮·韦弗/MacInTalk/约翰·拉岑贝格/凯茜·纳基麦/泰迪·牛顿/鲍伯·伯根/洛丽·理查德森/吉姆·瓦德/彼特·道格特/安德鲁·斯坦顿/杰夫·皮金/约翰·齐甘/米凯·麦高万/雪莉·琳恩/克莱特·惠特克/唐纳德·富利洛夫/罗里·艾伦/杰斯·哈梅尔/拉瑞恩·纽曼/扬·拉布森/保罗·伊丁,爱情/科幻/动画/冒险,美国,英语,2008,98分钟,(全部127003条),(全部2568条)
飞屋环游记,https://movie.douban.com/subject/2129039/,8.9,718353,彼特·道格特/鲍勃·彼德森,保伯·彼得森,爱德华·阿斯纳/克里斯托弗·普卢默/乔丹·长井/鲍勃·彼德森/戴尔里·林多/杰罗姆·兰福特/约翰·拉岑贝格/大卫·卡耶/艾丽·道克特/杰里米·利里/米凯·麦高万/丹尼·曼恩/唐纳德·富利洛夫/杰斯·哈梅尔/乔什·库雷/彼特·道格特,剧情/喜剧/动画/冒险,美国,英语,2009,96分钟,(全部116437条),(全部2485条)
天使爱美丽,https://movie.douban.com/subject/1292215/,8.7,624398,让-皮埃尔·热内,纪尧姆·洛朗,奥黛丽·塔图/马修·卡索维茨/吕菲斯/洛莱拉·克拉沃塔/塞尔日·梅兰/贾梅尔·杜布兹/克洛蒂尔德·莫勒/克莱尔·莫里耶/伊莎贝尔·南蒂/多米尼克·皮侬/阿尔蒂斯·德·彭居埃恩/友兰达·梦露/于尔班·康塞利埃/莫里斯·贝尼舒/米歇尔·罗班/安德烈·达芒/克洛德·佩隆/阿尔梅尔/迪基·奥尔加多/KevinFernandes/弗洛拉·吉耶/阿莫里·巴博尔/欧仁·贝蒂埃/让·达里/马克·阿米约,喜剧/爱情,法国/德国,法语/俄语,2001,122分钟,(全部117522条),(全部2333条)
无间道,https://movie.douban.com/subject/1307914/,9.1,630333,刘伟强/麦兆辉,麦兆辉,刘德华/梁朝伟/黄秋生/曾志伟/郑秀文/陈慧琳/陈冠希/余文乐/杜汶泽/林家栋/萧亚轩,剧情/悬疑/犯罪,香港,粤语,2002,101分钟,(全部87868条),(全部982条)
V字仇杀队,https://movie.douban.com/subject/1309046/,8.8,595210,詹姆斯·麦克特格,莉莉·沃卓斯基,娜塔莉·波特曼/雨果·维文/斯蒂芬·瑞/斯蒂芬·弗雷/约翰·赫特/蒂姆·皮戈特-史密斯/鲁珀特·格雷夫斯/罗杰·阿拉姆/本·迈尔斯/西妮德·库萨克/娜塔莎·怀特曼/约翰·斯坦丁/埃迪·马森/克里夫·阿什伯恩/EmmaField-Rayner/伊安·布尔费尔德/MarkPhoenix/AlisterMazzotti/比莉·库克/盖伊·亨利/科斯马·肖/MeganGay/RodericCulver/TaraHacking/安迪·莱什利兹/查德·斯塔赫斯基/布拉德利·斯蒂夫·福特/MadeleineRakic-Platt/塞丽娜·贾尔斯/卡斯腾·海斯/伊莫琴·普茨/劳拉·格林伍德/KyraMeyer/玛丽·萧克莱/理查德·莱恩/MichaelSimkins,剧情/动作/科幻/惊悚,美国/英国/德国,英语,2005,132分钟,(全部114252条),(全部1830条)
蝴蝶效应,https://movie.douban.com/subject/1292343/,8.7,514709,埃里克·布雷斯/J·麦基·格鲁伯,J·麦基·格鲁伯,阿什顿·库彻/梅洛拉·沃尔特斯/艾米·斯马特/埃尔登·汉森/威廉姆·李·斯科特/约翰·帕特里克·阿梅多利/艾琳·戈洛瓦娅/凯文·G·施密特/杰西·詹姆斯/罗根·勒曼/莎拉·威多斯/杰克·凯斯/卡梅隆·布莱特/埃里克·斯托尔兹/考乐姆·吉斯·雷尼,剧情/科幻/悬疑/惊悚,美国/加拿大,英语,2004,113分钟,(全部86917条),(全部2343条)
本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,8.8,538882,大卫·芬奇,艾瑞克·罗斯,凯特·布兰切特/布拉德·皮特/朱莉娅·奥蒙德/芳妮·A·钱勃丝/伊莱亚斯·科泰斯/杰森·弗莱明/大卫·詹森/蒂尔达·斯文顿/艾丽·范宁/乔安娜·塞勒/乔什·斯图沃特/丹尼·文森/塔拉吉·P·汉森/马赫沙拉·阿里/菲奥娜·黑尔/唐娜·杜普兰提尔/兰斯·E·尼克尔斯/特德·曼森/克莱·卡伦/菲利斯·萨莫维尔/杰瑞德·哈里斯/麦迪逊·贝蒂/汤姆·埃沃雷特/克里斯托弗·马克斯韦尔/伊利亚·沃里克,剧情/爱情/奇幻,美国,英语/俄语/法语,2008,166分钟,(全部96032条),(全部3496条)
蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,9.1,512108,克里斯托弗·诺兰,乔纳森·诺兰,克里斯蒂安·贝尔/希斯·莱杰/艾伦·艾克哈特/迈克尔·凯恩/玛吉·吉伦哈尔/加里·奥德曼/摩根·弗里曼/莫尼克·加布里埃拉·库尔内/罗恩·迪恩/基里安·墨菲/黄经汉/内斯特·卡博内尔/埃里克·罗伯茨/里特奇·科斯特/安东尼·迈克尔·豪尔/基斯·斯扎拉巴基克/柯林·麦克法兰/约书亚·哈尔托/美琳达·麦格劳/内森·甘宝/迈克尔·维约/迈克尔·斯托扬诺夫/威廉·斯米利/丹尼·高德林/迈克尔·加·怀特/马修·奥尼尔/威廉·菲德内尔/欧鲁米基·欧拉乌米/格雷格·比姆/爱利克·赫尔曼/毕崔斯·罗森/文森佐·尼克力/陈冠希,剧情/动作/科幻/惊悚/犯罪,美国/英国,英语/汉语普通话,2008,152分钟,(全部88302条),(全部1834条)
西西里的美丽传说,https://movie.douban.com/subject/1292402/,8.8,510129,朱塞佩·托纳多雷,朱塞佩·托纳多雷,莫妮卡·贝鲁奇/朱塞佩·苏尔法罗/LucianoFederico/玛蒂尔德·皮亚纳/PietroNotarianni/GaetanoAronica/GilbertoIdonea/AngeloPellegrino/GabriellaDiLuzio/PippoProvvidenti/埃丽萨·莫鲁奇/奥罗拉·夸特罗基/露琪亚·萨多/VanniBramati/SalvatoreMartino/安东内洛·普利西/NoamMorgensztern,剧情/情色/战争,意大利/美国,意大利语/英语/拉丁语/古希腊语,2000,109分钟,(全部95168条),(全部3045条)
加勒比海盗,https://movie.douban.com/subject/1298070/,8.7,483310,戈尔·维宾斯基,泰德·艾略特,约翰尼·德普/杰弗里·拉什/奥兰多·布鲁姆/凯拉·奈特莉/杰克·达文波特/乔纳森·普雷斯,动作/奇幻/冒险,美国,英语,2003,143分钟,(全部48462条),(全部332条)
哈尔的移动城堡,https://movie.douban.com/subject/1308807/,9.0,521268,宫崎骏,宫崎骏,倍赏千惠子/木村拓哉/美轮明宏/我修院达也/神木隆之介/伊崎充则/大泉洋/大塚明夫/原田大二郎/加藤治子/都筑香弥子,动画/奇幻/冒险,日本,日语,2004,119分钟,(全部77760条),(全部1018条)
贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,8.5,477981,丹尼·博伊尔/洛芙琳·坦丹,西蒙·博福伊,戴夫·帕特尔/沙鲁巴·舒克拉/亚尼·卡普/拉詹德拉纳斯·祖特施/吉尼瓦·塔瓦尔/芙蕾达·平托/伊尔凡·可汗/爱资哈尔丁·穆罕默德·伊斯梅尔/阿什·马赫什·舍德卡/马赫什·曼杰瑞卡/麦活·米泰尔,剧情/爱情,英国/美国,英语/印地语/法语,2008,120分钟,(全部59544条),(全部2613条)
穿普拉达的女王,https://movie.douban.com/subject/1482072/,8.0,424988,大卫·弗兰科尔,艾莲·布洛什·麦肯纳,安妮·海瑟薇/梅丽尔·斯特里普/艾米莉·布朗特/斯坦利·图齐/西蒙·贝克/艾德里安·格尼尔/吉赛尔·邦辰,剧情/爱情,美国/法国,英语/法语,2006,109分钟,(全部67986条),(全部1860条)
功夫,https://movie.douban.com/subject/1291543/,8.3,412580,周星驰,曾瑾昌,周星驰/元秋/元华/黄圣依/梁小龙/陈国坤/田启文/林子聪/林雪/冯克安/释彦能/冯小刚/袁祥仁/张一白/赵志凌/董志华/何文辉/陈凯师/贾康熙/林子善/任珈锐/王仕颖,喜剧/动作/犯罪/奇幻,中国大陆/香港,粤语/汉语普通话/手语,2004,100分钟,(全部45665条),(全部556条)
疯狂的石头,https://movie.douban.com/subject/1862151/,8.4,423836,宁浩,张承,郭涛/刘桦/连晋/黄渤/徐峥/优恵/罗兰/王迅,喜剧/犯罪,中国大陆/香港,汉语普通话/重庆话,2006,106分钟,(全部48065条),(全部702条)
美丽心灵,https://movie.douban.com/subject/1306029/,8.9,413116,朗·霍华德,阿齐瓦·高斯曼,罗素·克劳/艾德·哈里斯/詹妮弗·康纳利/克里斯托弗·普卢默/保罗·贝坦尼/亚当·戈德堡/乔什·卢卡斯/安东尼·拉普/贾森·加里-斯坦福德/贾德·赫希/奥斯汀·潘德尔顿/薇薇·卡登尼/吉莉·西蒙/维克多·斯坦巴赫/坦娅·克拉克/罗伊·辛尼斯/谢丽尔·霍华德/兰斯·霍华德/简·詹金斯/乔什·帕斯/瓦伦蒂娜·卡迪纳利/蒂格尔·F·伯格里/迈克尔·埃斯佩尔/艾米·瓦尔兹/小艾德.朱普/卡拉·奥奇格罗索/斯特里奥·萨万特/迈克尔·阿伯特/雷吉·奥斯汀/凯德·比特纳/理查·布莱恩特/丹·陈/乔纳·福尔肯/法布里奇奥·范特/斯科特·费恩斯特罗姆/迈克尔·菲奥里/塞斯·盖贝尔/埃文·哈特/杰森·霍顿/布莱丝·达拉斯·霍华德/朗·霍华德/多里·曼佐尔/罗伯特·迈尔斯/里德·彭尼/米尔斯·彼埃尔/肖恩·里德,剧情/传记,美国,英语,2001,135分钟,(全部70227条),(全部1715条)
致命魔术,https://movie.douban.com/subject/1780330/,8.8,467974,克里斯托弗·诺兰,乔纳森·诺兰,休·杰克曼/克里斯蒂安·贝尔/迈克尔·凯恩/丽贝卡·豪尔/斯嘉丽·约翰逊/大卫·鲍伊/安迪·瑟金斯/派珀·佩拉博/萨曼塔·马霍林/丹尼尔·戴维斯/吉姆·皮多克/克里斯托弗·尼姆/马克·瑞安/罗杰·里斯/杰米·哈里斯/罗恩·帕金斯/瑞奇·杰/安东尼·德·马克/冀朝理,剧情/悬疑/惊悚,美国/英国,英语,2006,130分钟,(全部89166条),(全部1473条)
指环王1：魔戒再现,https://movie.douban.com/subject/1291571/,9.0,423829,彼得·杰克逊,弗兰·威尔士,伊莱贾·伍德/西恩·奥斯汀/伊恩·麦克莱恩/维果·莫腾森/奥兰多·布鲁姆/凯特·布兰切特/肖恩·宾/克里斯托弗·李/雨果·维文/丽芙·泰勒/安迪·瑟金斯/伊安·霍姆/多米尼克·莫纳汉/萨拉·贝克/约翰·瑞斯-戴维斯,剧情/动作/奇幻/冒险,新西兰/美国,英语/辛达林语,2001,178分钟,(全部44782条),(全部405条)
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,8.9,422770,克里斯·哥伦布,史蒂夫·克洛夫斯,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/艾伦·瑞克曼/玛吉·史密斯/汤姆·费尔顿/伊恩·哈特/理查德·哈里斯/约翰·赫特/罗彼·考特拉尼/朱丽·沃特斯/邦妮·怀特/约翰·克立斯/肖恩·比格斯代夫,奇幻/冒险,美国/英国,英语,2001,152分钟,(全部48766条),(全部374条)
傲慢与偏见,https://movie.douban.com/subject/1418200/,8.5,401411,乔·赖特,简·奥斯汀,凯拉·奈特莉/马修·麦克费登/唐纳德·萨瑟兰/布兰达·布莱斯/凯瑞·穆里根/裴淳华/吉娜·马隆/妲露拉·莱莉/朱迪·丹奇/西蒙·伍兹/克劳迪·布莱克利/汤姆·霍兰德/鲁伯特·弗兰德/凯利·蕾莉/皮普·托伦斯/西妮德·马修斯/佩内洛普·威尔顿/塔姆金·莫钦特,剧情/爱情,法国/英国/美国,英语,2005,129分钟,(全部80138条),(全部1538条)
断背山,https://movie.douban.com/subject/1418834/,8.7,423719,李安,拉里·麦克穆特瑞,希斯·莱杰/杰克·吉伦哈尔/米歇尔·威廉姆斯/安妮·海瑟薇/凯特·玛拉/兰迪·奎德/琳达·卡德里尼/安娜·法瑞丝/格拉汉姆·贝克尔/斯科特·迈克尔·坎贝尔/大卫·哈伯/罗伯塔·马克斯韦尔/皮特·麦克罗比/夏恩·希尔/布鲁克琳·普劳克斯/杰克·丘奇,剧情/爱情/同性/家庭,美国/加拿大,英语,2005,134分钟,(全部78554条),(全部2175条)
2012,https://movie.douban.com/subject/3005875/,7.8,369019,罗兰·艾默里奇,罗兰·艾默里奇,约翰·库萨克/切瓦特·埃加福特/阿曼达·皮特/坦迪·牛顿/丹尼·格洛弗/伍迪·哈里森/奥利弗·普莱特/连姆·詹姆斯/摩根·莉莉/毕崔斯·罗森/黄经汉/卢燕,动作/科幻/冒险/灾难,美国/加拿大,英语/法语/藏语/汉语普通话/俄语/印地语/葡萄牙语/拉丁语/意大利语,2009,158分钟,(全部57429条),(全部2492条)
秒速5厘米,https://movie.douban.com/subject/2043546/,8.3,387807,新海诚,新海诚,水桥研二/近藤好美/花村怜美/尾上绫华/水野理纱/寺崎裕香/中村祐子/岩崎征实/内藤玲/下崎纮史/平野贵裕/中川玲/井关佳子/井上优/加古临王/中村梨香/须加美纪/鮭延未可/新鹿由美子/斋藤由香子,剧情/爱情/动画,日本,日语,2007,63分钟,(全部83949条),(全部2677条)
恐怖游轮,https://movie.douban.com/subject/3011051/,8.4,430323,克里斯托弗·史密斯,克里斯托弗·史密斯,梅利莎·乔治/利亚姆·海姆斯沃斯/迈克尔·多曼/瑞秋·卡帕尼/艾玛·朗/亨利·尼克松/约书亚·麦基弗,剧情/悬疑/惊悚,英国/澳大利亚,英语,2009,99分钟,(全部96102条),(全部1801条)
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,9.1,402639,彼得·杰克逊,弗兰·威尔士,维果·莫腾森/伊莱贾·伍德/西恩·奥斯汀/丽芙·泰勒/伊恩·麦克莱恩/奥兰多·布鲁姆/凯特·布兰切特/米兰达·奥图/安迪·瑟金斯/雨果·维文/多米尼克·莫纳汉/比利·博伊德/马尔顿·索克斯/卡尔·厄本/克里斯托弗·李/约翰·瑞斯-戴维斯,剧情/动作/奇幻/冒险,美国/新西兰,英语/昆雅语/古英语/辛达林语,2003,201分钟,(全部45103条),(全部526条)
功夫熊猫,https://movie.douban.com/subject/1783457/,8.0,383730,马克·奥斯本/约翰·斯蒂文森,乔纳森·阿贝尔,杰克·布莱克/达斯汀·霍夫曼/安吉丽娜·朱莉/伊恩·麦柯肖恩/成龙/塞斯·罗根/刘玉玲/大卫·克罗斯/兰德尔·杜克·金/吴汉章/丹·福勒/迈克·克拉克·邓肯/韦恩·奈特/凯尔·加斯/JR·里德/劳拉·奈特林格/坦雅·海登/斯蒂芬·凯林/马克·奥斯本/约翰·斯蒂文森/肯特·奥斯博内/瑞利·奥斯本,喜剧/动作/动画/冒险,美国,英语,2008,95分钟,(全部35250条),(全部1435条)
被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,8.9,415282,中岛哲也,中岛哲也,中谷美纪/瑛太/香川照之/市川实日子/伊势谷友介/柄本明/黑泽明日香/荒川良良/柴崎幸/土屋安娜/奥之矢佳奈/谷原章介/武田真治/片平渚/宫藤官九郎/角野卓造/田中要次/木村凯拉/谷中敦/剧团一人,剧情/歌舞,日本,日语,2006,130分钟,(全部115618条),(全部6177条)
致命ID,https://movie.douban.com/subject/1297192/,8.7,428760,詹姆斯·曼高德,Michael Cooney,约翰·库萨克/雷·利奥塔/阿曼达·皮特/阿尔弗雷德·莫里纳/克里·杜瓦尔,剧情/悬疑/惊悚,美国,英语,2003,90分钟,(全部81709条),(全部951条)
真爱至上,https://movie.douban.com/subject/1292401/,8.6,410870,理查德·柯蒂斯,理查德·柯蒂斯,休·格兰特/科林·费尔斯/艾玛·汤普森/凯拉·奈特莉/连姆·尼森/托马斯·布罗迪-桑斯特/比尔·奈伊/马丁·弗瑞曼/劳拉·琳妮/艾伦·瑞克曼/克里斯·马歇尔/罗德里戈·桑托罗/罗温·艾金森/比利·鲍伯·松顿/玛汀·麦古基安/安德鲁·林肯/露西娅·莫尼斯/海克·玛卡琪,剧情/喜剧/爱情,英国/美国/法国,英语/葡萄牙语/法语,2003,135分钟,(全部97859条),(全部1534条)
钢铁侠,https://movie.douban.com/subject/1432146/,8.1,336338,乔恩·费儒,阿特·马库姆,小罗伯特·唐尼/泰伦斯·霍华德/格温妮斯·帕特洛/杰夫·布里吉斯/莱丝莉·比伯/肖恩·托布/保罗·贝坦尼/乔恩·费儒/克拉克·格雷格,动作/科幻/惊悚/冒险,美国,英语/波斯语/乌尔都语/阿拉伯语,2008,126分钟,(全部42635条),(全部611条)
冰川时代,https://movie.douban.com/subject/1291578/,8.5,356053,卡洛斯·沙尔丹哈/克里斯·韦奇,迈克尔·伯格 ,雷·罗马诺/约翰·雷吉扎莫/丹尼斯·利瑞/杰克·布莱克,喜剧/动画/冒险,美国,英语/克罗地亚语,2002,81分钟,(全部28574条),(全部192条)
入殓师,https://movie.douban.com/subject/2149806/,8.8,386781,泷田洋二郎,小山薰堂,本木雅弘/广末凉子/山崎努/吉行和子/笹野高史/余贵美子,剧情,日本,日语,2008,130分钟,(全部72031条),(全部3619条)
指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,9.0,378184,彼得·杰克逊,弗兰·威尔士,伊莱贾·伍德/西恩·奥斯汀/伊恩·麦克莱恩/维果·莫腾森/奥兰多·布鲁姆/克里斯托弗·李/丽芙·泰勒/安迪·瑟金斯/雨果·维文/卡尔·厄本/凯特·布兰切特/多米尼克·莫纳汉/大卫·文翰/比利·博伊德/布拉德·道里夫/伯纳德·希尔/约翰·瑞斯-戴维斯/米兰达·奥图,剧情/动作/奇幻/冒险,美国/新西兰,英语/辛达林语/古代英语,2002,179分钟,(全部30709条),(全部193条)
色，戒,https://movie.douban.com/subject/1828115/,8.3,335756,李安,王蕙玲,梁朝伟/汤唯/陈冲/王力宏/庹宗华/朱芷莹/高英轩/柯宇纶/阮德锵/钱嘉乐/苏岩/何赛飞/宋茹惠/樊光耀/卢燕/刘洁/余娅/王琳/王侃/竹下明子/阿努潘·凯尔,剧情/爱情/情色,台湾/中国大陆/美国/香港,汉语普通话/上海话/英语/粤语/日语/印地语,2007,158分钟,(全部60307条),(全部3583条)
怪兽电力公司,https://movie.douban.com/subject/1291579/,8.6,337725,彼特·道格特/大卫·斯沃曼/李·昂克里奇,安德鲁·斯坦顿,约翰·古德曼/比利·克里斯托/玛丽·吉布斯/史蒂夫·布西密/詹姆斯·柯本/詹妮弗·提莉/鲍勃·彼德森/约翰·拉岑贝格/弗兰克·奥兹/丹尼尔·吉尔森/邦尼·亨特/杰克·安杰尔/塞缪尔·洛德·布莱克/史蒂夫·萨斯坎德,喜剧/动画/儿童/奇幻/冒险,美国,英语,2001,92分钟,(全部38313条),(全部278条)
两小无猜,https://movie.douban.com/subject/1308817/,8.0,359047,杨·塞谬尔,杨·塞谬尔,吉约姆·卡内/玛丽昂·歌迪亚/蒂博•费尔哈格/约瑟芬·勒巴-乔利/艾曼妞·格伦沃尔德/杰拉德·沃特金斯/吉尔·勒卢什/朱莉娅·福雷/LaëtiziaVeneziaTarnowska/艾乐蒂·纳瓦/纳塔莉·纳捷/RobertWillar/FrédéricGeerts/ManuelaSanchez/PhilippeDrecq,剧情/喜剧/爱情,法国/比利时,法语,2003,93分钟,(全部86461条),(全部2495条)
记忆碎片,https://movie.douban.com/subject/1304447/,8.6,355239,克里斯托弗·诺兰,克里斯托弗·诺兰,盖·皮尔斯/凯瑞-安·莫斯/乔·潘托里亚诺/小马克·布恩/拉什·费加/乔雅·福克斯/斯蒂芬·托布罗斯基/哈里特·桑塞姆·哈里斯/托马斯·列农/考乐姆·吉斯·雷尼/金伯利·坎贝尔/玛丽安妮·穆勒雷尔/拉里·霍尔登,剧情/悬疑/惊悚/犯罪,美国,英语,2000,113分钟,(全部70120条),(全部1279条)
恋恋笔记本,https://movie.douban.com/subject/1309163/,8.5,364258,尼克·卡萨维茨,扬·萨尔迪,瑞恩·高斯林/瑞秋·麦克亚当斯/吉娜·罗兰兹/詹姆斯·加纳/斯塔尔勒塔·杜波利斯/凯文·康诺利/希瑟·沃奎斯特/杰弗里·奈特/琼·艾伦/詹姆斯·麦斯登,剧情/爱情,美国,英语,2004,123分钟,(全部84645条),(全部2153条)
暮光之城,https://movie.douban.com/subject/2268359/,7.4,339121,凯瑟琳·哈德威克,梅莉莎·罗森伯格,克里斯汀·斯图尔特/罗伯特·帕丁森/比利·伯克/阿什丽·格林尼/妮基·瑞德/泰勒·洛特纳/艾迪·盖瑟吉,剧情/爱情/惊悚/奇幻,美国,英语,2008,122分钟,(全部50859条),(全部1547条)
我的野蛮女友,https://movie.douban.com/subject/1292286/,8.1,327249,郭在容,郭在容,车太贤/全智贤/金仁文/金太贤/李武英/任豪/郭在容/韩振熙/金一宇/徐东元/宋玉淑/杨金石,剧情/喜剧/爱情,韩国,英语/韩语,2001,123分钟,(全部43846条),(全部603条)
猫鼠游戏,https://movie.douban.com/subject/1305487/,8.9,360512,史蒂文·斯皮尔伯格,杰夫·内桑森,莱昂纳多·迪卡普里奥/汤姆·汉克斯/克里斯托弗·沃肯/马丁·辛/艾米·亚当斯/詹妮弗·加纳/伊丽莎白·班克斯/纳塔莉·贝伊/詹姆斯·布洛林/艾伦·旁派/南希·利内翰/布莱恩·豪威/弗兰克·约翰·休斯/克里斯·埃里斯,剧情/传记/犯罪,美国/加拿大,英语/法语,2002,141分钟,(全部63372条),(全部820条)
不能说的秘密,https://movie.douban.com/subject/2124724/,7.7,311931,周杰伦,周杰伦,周杰伦/桂纶镁/黄秋生/苏明明/曾恺玹/詹宇豪/张杰/钟瑶/张训玮,爱情/音乐/奇幻,香港/台湾,汉语普通话/英语,2007,101分钟,(全部50340条),(全部1414条)
变形金刚,https://movie.douban.com/subject/1794171/,8.2,308076,迈克尔·贝,罗伯托·奥奇,希亚·拉博夫/泰瑞斯·吉布森/乔什·杜哈明/安东尼·安德森/梅根·福克斯/瑞切尔·泰勒/约翰·特托罗/强·沃特/迈克尔·奥尼尔/凯文·杜恩/朱丽叶·怀特,动作/科幻,美国,英语/西班牙语,2007,144分钟,(全部31696条),(全部790条)
鬼子来了,https://movie.douban.com/subject/1291858/,9.2,335587,姜文,姜文,姜文/香川照之/袁丁/姜宏波/丛志军/喜子/泽田谦也/李海滨/蔡卫东/陈述/陈莲梅/史建全/陈强/宫路佳具/吴大维/梶冈润一/石山雄大/述平/姜武,剧情/历史/战争,中国大陆,汉语普通话/日语/唐山话,2000,139分钟,(全部61950条),(全部1380条)
史密斯夫妇,https://movie.douban.com/subject/1309199/,7.6,313951,道格·里曼,西蒙·金伯格,布拉德·皮特/安吉丽娜·朱莉/文斯·沃恩/亚当·布罗迪/凯丽·华盛顿/凯斯·大卫/克里斯·韦兹/RachaelHuntley/米歇尔·莫纳汉/斯蒂芬妮·玛奇/詹妮弗·莫里森/TheresaBarrera/佩瑞·里维斯/MelanieTolbert/杰瑞·T·亚当斯/罗恩·博蒂塔/玛丽·斯奇塔姆/NoahDahl/ChrisDaniels/帕特里卡·达博/特雷西·迪奥里奥/格雷格·埃利斯/梅根·加拉格尔/艾米·海瑟薇/拉维尔·伊斯亚诺夫/马克·伊瓦涅/西蒙·金伯格/DerenLeRoy/肖恩·马洪/JordanOsher/LeonardRobinson/FelixA.Ruiz/SamSabbah/Michael-JohnWolfe/杰夫·雅格/MelissaHurley/JacquiLandrum/MarkBarba/安吉拉·贝塞特/威廉·菲德内尔/ShiloFrontierro/LuisJuarez/托尼·隆哥,喜剧/动作/爱情,美国,英语/西班牙语,2005,120分钟,(全部39010条),(全部335条)
非诚勿扰,https://movie.douban.com/subject/3313801/,7.1,314842,冯小刚,冯小刚,葛优/舒淇/范伟/徐若瑄/方中信/胡可/巩新亮/车晓/冯远征/罗海琼/邬逸聪/何佳怡/李琳,喜剧/爱情,中国大陆,汉语普通话/日语,2008,130分钟,(全部31577条),(全部2226条)
天下无贼,https://movie.douban.com/subject/1291550/,7.8,307074,冯小刚,王刚,刘德华/刘若英/王宝强/李冰冰/葛优/张涵予/尤勇/徐帆/傅彪/范伟/冯远征/林家栋,剧情/动作/犯罪,中国大陆/香港,汉语普通话,2004,113分钟,(全部29166条),(全部373条)
