name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
罗马假日,https://movie.douban.com/subject/1293839/,9.0,537874,威廉·惠勒,伊安·麦克莱伦·亨特,奥黛丽·赫本/格利高里·派克/埃迪·艾伯特/哈特利·鲍尔/哈考特·威廉姆斯/MargaretRawlings/托里奥·卡米纳提/PaoloCarlini/ClaudioErmelli/保拉·布鲁布尼/里佐·弗雷多里佐/LauraSolari/GorellaGori/ArmandoAnnuale/MaurizioArena/SilvioBagolini/GildoBocci/FrancoCorsaro/JohnCortay/VittoriaCrispo/SidneyGordon/LuigiMoneta/PieroPastore/MimmoPoli/CarloRizzo/GiannaSegale/AmedeoTrilli/HelenTubbs/MarcoTulli/JoopvanHulzen/CatherineWyler/JudyWyler,剧情/喜剧/爱情,美国,英语/意大利语/德语,1953,118.0,89340,1049
乱世佳人,https://movie.douban.com/subject/1300267/,9.2,370115,维克多·弗莱明/乔治·库克/山姆·伍德,玛格丽特·米歇尔,费雯·丽/克拉克·盖博/奥利维娅·德哈维兰/托马斯·米切尔/芭芭拉·欧内尔/伊夫林·凯耶斯/安·卢瑟福德/乔治·里弗斯/弗莱德·克莱恩/海蒂·麦克丹尼尔斯/奥斯卡·波尔克/巴特弗莱·麦昆/维克托·乔里/埃弗雷特·布朗/霍华德·C·希克曼/艾丽西亚·瑞特/莱斯利·霍华德/兰德·布鲁克斯/卡洛尔·奈/劳拉·霍普·克鲁斯/埃迪·安德森/哈里·达文波特/利昂娜·罗伯特/简·达威尔/欧娜·满森/保罗·赫斯特/伊莎贝尔·朱尔/卡米·金·肯伦/艾瑞克·林登/J·M·克里根/沃德·邦德/莉莲·肯布尔-库珀,剧情/爱情/历史/战争,美国,英语,1939,238.0,71602,1544
十二怒汉,https://movie.douban.com/subject/1293182/,9.4,239143,西德尼·吕美特,雷金纳德·罗斯,亨利·方达/马丁·鲍尔萨姆/约翰·菲德勒/李·科布/E.G.马绍尔/杰克·克卢格曼/爱德华·宾斯/杰克·瓦尔登/约瑟夫·史威尼/埃德·贝格利/乔治·沃斯科维奇/罗伯特·韦伯,剧情,美国,英语,1957,96.0,54139,1386
魂断蓝桥,https://movie.douban.com/subject/1293964/,8.8,157552,茂文·勒鲁瓦,塞缪尔·N·贝尔曼,费雯·丽/罗伯特·泰勒/露塞尔·沃特森/弗吉尼亚·菲尔德/玛丽亚·彭斯卡娅/C.奥布雷·史密斯/JanetShaw/JanetWaldo/SteffiDuna/VirginiaCarroll/EleanorStewart/LowdenAdams/HarryAllen/JimmyAubrey/PhyllisBarry/ColinCampbell/丽塔·卡莱尔/里奥.G.卡罗尔/戴维·卡文迪什/大卫·克莱德/汤姆·康威/FrankDawson/ConnieEmerald/GilbertEmery/赫伯特·埃文斯/DickGordon/DenisGreen/艾塞尔·格里菲斯/BobbyHale/WinifredHarris/哈利韦尔·霍布斯/HaroldHoward/CharlesIrwin/GeorgeKirby/WalterLawrence/威尔弗雷德·卢卡斯/DanMaxwell/JamesMay/FlorineMcKinney/CharlesMcNaughton/FrankMitchell/埃德蒙·莫蒂默/伦纳德米迪/坦普·皮戈特/JohnPower/ClaraReid/PaulScardon/约翰·格雷厄姆·斯佩西/WyndhamStanding/哈里·斯塔布斯/CyrilThornton/戴维·瑟斯比/诺玛·威登/帕特·威尔士/玛莎·温特沃思/FrankWhitbeck/EricWilton/RobertWinkler/道格拉斯·伍德,剧情/爱情/战争,美国,英语/法语,1940,108.0,24328,472
罗生门,https://movie.douban.com/subject/1291879/,8.7,165343,黑泽明,黑泽明,三船敏郎/千秋实/京町子/森雅之/志村乔,剧情/悬疑/犯罪,日本,日语,1950,88.0,34612,1131
摩登时代,https://movie.douban.com/subject/1294371/,9.2,135229,查理·卓别林,查理·卓别林,查理·卓别林/宝莲·高黛/亨利·伯格曼/TinySandford/切斯特·康克林/汉克·曼/StanleyBlystone/阿尔·欧内斯特·加西亚/理查德·亚历山大/CecilReynolds/MiraMcKinney/MurdockMacQuarrie/威尔弗雷德·卢卡斯/EdwardLeSaint/FredMalatesta/SammyStein/TedOliver/NormanAinsley/BobbyBarber/海尼·康克林/格洛丽亚·德黑文/PatFlaherty/FrankHagney/PatHarmon/劳埃德·英格拉哈姆/沃尔特·詹姆斯/EdwardKimball/JackLow/BuddyMessinger/BruceMitchell/FrankMoran/JamesC.Morton/LouisNatheaux/J·C·纽金特/拉斯·鲍威尔/约翰兰德/哈里·威尔逊,剧情/喜剧/爱情,美国,英语,1936,87.0,17126,272
卡萨布兰卡,https://movie.douban.com/subject/1296753/,8.6,152877,迈克尔·柯蒂兹,朱利叶斯·J·爱泼斯坦,亨弗莱·鲍嘉/英格丽·褒曼/保罗·亨雷德/克劳德·雷恩斯/康拉德·韦特/西德尼·格林斯垂特/彼得·洛/S·Z·萨卡尔/玛德琳·勒博/杜利·威尔逊/乔伊·派奇/约翰·奎尔伦/列昂尼德·金斯基/科特·博伊斯/EnriqueAcosta/EdAgresti/LouisV.Arco/BrandonBeach/利昂·贝拉斯科/TrudeBerliner/奥利弗布莱克/蒙蒂·布卢/欧仁·博登/DickBotiller/MauriceBrierre/GeorgeM.Carleton/SpencerChan/TexCooper/基诺科拉多/FrancoCorsaro/AdrienneD'Ambricourt/马塞尔·达里奥/赫尔穆特·丹丁/JeanDeBriac/GeorgeDee/让·德尔瓦尔/CarlDeloro/ArthurDulac/WilliamEdmunds/赫伯特·埃文斯/FredFarrell/马丁·加拉拉加/GregoryGaye/GregoryGolubeff/IlkaGrüning/克莱顿·黑尔/WinifredHarris/JamielHasson/ArthurStuartHull/OlafHytten/PaulIrving/CharlesLaTorre/乔治·J·刘易斯/JacquesLory/LouMarcelle/MichaelMark/FrankMazzola/乔治·米克/LalChandMehra/路易斯梅西埃/TorbenMeyer/MikeMorelli/阿尔贝托·莫林/LeoMostovoy/BarryNorton/MontyO'Grady/LottePalfiAndor/PaulPanzer/ManuelParís/AlexanderPollard/保罗·波尔卡西/弗兰克·普格利亚/GeorgesRenavent/杜威·罗宾逊/VictorRomito/HenryRowland/RichardRyen/DanSeymour/NickShaid/LesterSharpe/BhogwanSingh/DinaSmirnova/GeraldOliverSmith/GeorgeSorel/GeoffreySteele/路德维希·施托塞尔,剧情/爱情/战争,美国,英语/法语/德语/意大利语,1942,102.0,29538,582
控方证人,https://movie.douban.com/subject/1296141/,9.6,176141,比利·怀德,阿加莎·克里斯蒂,泰隆·鲍华/玛琳·黛德丽/查尔斯·劳顿/爱尔莎·兰切斯特/约翰·威廉姆斯/亨利·丹尼尔/伊安·沃尔夫/托林·撒切尔/诺玛·威登/尤娜·奥康纳/茹塔·李,剧情/悬疑/犯罪,美国,英语/德语,1957,116.0,51277,561
雨中曲,https://movie.douban.com/subject/1293460/,9.0,118175,斯坦利·多南/吉恩·凯利,贝蒂·康登,吉恩·凯利/唐纳德·奥康纳/黛比·雷诺斯/简·哈根/米勒德·米切尔/赛德·查里斯/达格拉斯·福雷/丽塔·莫雷诺/道恩·艾达丝/JohnAlbright/BettyAllen/BetteArlen/DavidBair/玛格丽特·伯特/MadgeBlake/GailBonney/ChetBrandenburg/梅·克拉克/HarryCody/ChickCollins/PatConway/JeanneCoyne/FredDatigJr./KayDeslys/JohnDodsworth/金·多诺万/PhilDunham/海伦·艾比罗克/RichardEmory/TommyFarrell/ErnieFlatt/贝丝·弗劳尔斯/罗伯特·福捷/DanFoster/RobertFoulk/EricFreeman/凯瑟琳·弗里曼/兰斯·富勒/杰克·乔治/JohnGeorge/InezGorman/A.CameronGrant/BeatriceGray/WilliamHamel/山姆·哈里斯/TimmyHawkins/JeanHeremans/斯图尔特·霍姆斯/肯纳G.肯普/迈克·拉里/乔伊·兰辛/WilliamF.Leicester/SylviaLewis,喜剧/爱情/歌舞,美国,英语,1952,103.0,21845,209
七武士,https://movie.douban.com/subject/1295399/,9.2,102941,黑泽明,黑泽明,三船敏郎/志村乔/稻叶义男/宫口精二/千秋实/加东大介/木村功,剧情/动作/冒险,日本,日语,1954,160.0,21619,508
