name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
驴得水,8.3,463375,周申,2016,111,中国大陆,汉语普通话,剧情,喜剧,任素汐,大力
傲娇与偏见,4.8,44005,李海蜀,2017,108,中国大陆,汉语普通话,喜剧,爱情,迪丽热巴,张云龙
名侦探柯南：纯黑的恶梦,6.2,44755,静野孔文,2016,112,日本,日语,动画,悬疑,高山南,山崎和佳奈
环形使者,6.9,136646,莱恩·约翰逊,2012,110,美国,英语,动作,科幻,约瑟夫·高登-莱维特,布鲁斯·威利斯
蝙蝠侠：黑暗骑士归来(下),8.8,19287,杰伊·欧力瓦,2013,76,美国,英语,动作,动画,彼得·威勒,阿芮尔·温特
家和万事惊,5.9,10254,邱礼涛,2019,92,中国大陆,粤语,喜剧,家庭,吴镇宇,古天乐
想爱就爱2,6.2,25322,萨拉萨瓦蒂·翁索姆佩奇,2012,105,泰国,泰语,剧情,爱情,苏查拉·玛娜英,素帕娜·吉塔勒拉
90年代中期,7.2,3157,乔纳·希尔,2018,84,美国,英语,剧情,喜剧,桑尼·苏尔季克,凯瑟琳·沃特斯顿
表情奇幻冒险,5.2,5586,安东尼·莱昂迪斯,2017,86,美国,英语,喜剧,动画,T·J·米勒,詹姆斯·柯登
暗杀游戏,3.7,5676,萨里·奥德赛耶,2016,100,俄罗斯,俄语,动作,科幻,瓦蒂姆·提萨拉提,维奥莱塔·吉特孟斯塔雅
突然变异,6.3,10301,权五光,2015,92,韩国,韩语,喜剧,喜剧,李光洙,李天熙
再见，克里斯托弗·罗宾,7.8,5873,西蒙·柯蒂斯,2017,107,英国,英语,剧情,家庭,多姆纳尔·格里森,玛格特·罗比
钢之炼金术师：叹息之丘的圣星,7.3,8965,村田和也,2011,110,日本,日语,剧情,动作,朴璐美,钉宫理惠
单亲度假村,7.3,14229,弗兰克·克拉斯,2014,117,美国,英语,喜剧,喜剧,亚当·桑德勒,德鲁·巴里摩尔
尸忆,6.8,8559,谢庭菡,2015,89,台湾,汉语普通话,惊悚,恐怖,吴慷仁,谢欣颖
青少年,6.8,11233,贾森·雷特曼,2011,94,美国,英语,剧情,喜剧,查理兹·塞隆,帕特里克·威尔森
维多利亚的秘密2012时装秀,8.3,7609,哈密什·汉密尔顿,2012,43,美国,英语,真人秀,真人秀,莉莉·奥尔德里奇,亚历桑德拉·安布罗休
最后的约定,7.2,6254,佐藤祐市,2010,130,日本,日语,剧情,剧情,大野智,樱井翔
是爱非友,7.6,3423,Papu Curotto,2016,83,阿根廷,西班牙语,剧情,爱情,IgnacioRogers,EstebanMasturini
兄弟出头天,7.7,17214,费舍·史蒂芬斯,2012,95,美国,英语,喜剧,喜剧,阿尔·帕西诺,克里斯托弗·沃肯
甜心巧克力,5.1,4542,筱原哲雄,2012,98,中国大陆,日语,爱情,爱情,林志玲,池内博之
喜羊羊与灰太狼之羊年喜羊羊,5.3,2028,黄伟明,2015,86,中国大陆,汉语普通话,喜剧,动画,祖晴,张琳
刺杀林肯,6.6,1399,Adrian Moat,2013,88,美国,英语,剧情,传记,比利·坎贝尔,杰西·约翰逊
定罪,7.9,8408,托尼·戈德温,2010,107,美国,英语,剧情,传记,希拉里·斯万克,山姆·洛克威尔
苹果核战记：阿尔法,6.6,4817,荒牧伸志,2014,93,日本,英语,动作,科幻,小松由佳,诹访部顺一
缄默的迷宫,7.7,3455,朱利奥·里奇尔利,2014,124,德国,德语,剧情,历史,亚历山大·费林,安德烈·谢曼斯基
两个心脏,6.3,1152,Jung Yeon-Sik,2013,123,韩国,韩语,惊悚,惊悚,Hak-rakChoi,郑仁基
黑客帝国2：重装上阵,8.5,184465,莉莉·沃卓斯基,2003,138,美国,英语,动作,科幻,基努·里维斯,凯瑞-安·莫斯
垂直极限,7.7,23518,马丁·坎贝尔,2000,124,美国,英语,动作,惊悚,克里斯·奥唐纳,罗宾·汤尼
尽情游戏,8.1,23947,让-皮埃尔·热内,2009,105,法国,法语,喜剧,犯罪,丹尼·伯恩,安德烈·杜索里埃
天国的邮递员,7.0,19660,李亨民,2009,105,韩国,韩语,剧情,爱情,金在中,韩孝周
丑闻笔记,7.8,21907,理查德·艾尔,2006,92,英国,英语,剧情,惊悚,朱迪·丹奇,凯特·布兰切特
冲出宁静号,7.2,22162,乔斯·韦登,2005,119,美国,英语,动作,科幻,内森·菲利安,吉娜·托瑞斯
男孩A,8.2,22219,约翰·克劳利,2007,106,英国,英语,剧情,爱情,安德鲁·加菲尔德,彼得·穆兰
我盛大的同志婚礼,7.0,20698,丹尼斯·杜根,2007,115,美国,英语,喜剧,爱情,亚当·桑德勒,凯文·詹姆斯
墨西哥往事,7.3,19675,罗伯特·罗德里格兹,2003,102,美国,英语,动作,犯罪,安东尼奥·班德拉斯,萨尔玛·海耶克
乘客,6.6,23285,罗德里戈·加西亚,2008,93,美国,英语,剧情,爱情,安妮·海瑟薇,帕特里克·威尔森
猫女,5.8,17654,皮托夫,2004,104,美国,英语,动作,犯罪,哈莉·贝瑞,本杰明·布拉特
救命,6.6,18209,罗志良,2004,88,香港,粤语,剧情,惊悚,林嘉欣,李心洁
天降奇兵,7.0,19569,斯蒂芬·诺林顿,2003,110,美国,英语,动作,科幻,肖恩·康纳利,纳萨鲁丁·沙
飞天小女警,8.0,17802,克雷格·迈克科雷肯,2002,73,美国,英语,剧情,喜剧,凯茜·卡瓦蒂妮,塔拉·斯特朗
前路漫漫,7.5,21740,北川悦吏子,2009,85,日本,日语,剧情,爱情,北乃绮,冈田将生
撕裂人,6.0,20626,詹姆斯·古恩,2006,95,加拿大,英语,喜剧,科幻,内森·菲利安,伊丽莎白·班克斯
四角关系,7.5,21266,欧·帕克,2005,90,德国,英语,剧情,喜剧,派珀·佩拉博,琳娜·海蒂
火星任务,7.6,20771,布莱恩·德·帕尔玛,2000,114,美国,英语,剧情,科幻,加里·西尼斯,蒂姆·罗宾斯
魔幻时刻,8.3,23273,三谷幸喜,2008,136,日本,日语,喜剧,喜剧,佐藤浩市,妻夫木聪
爱久弥新,7.8,20895,Yongyoot Thongkongtoon,2009,117,泰国,泰语,剧情,爱情,亚瑞克·阿莫苏帕西瑞,雅琳达·邦恩纳克
剑蝶,4.8,18873,马楚成,2008,102,香港,粤语,动作,爱情,吴尊,蔡卓妍
蓝宇,8.1,152885,关锦鹏,2001,86,中国大陆,汉语普通话,剧情,爱情,胡军,刘烨
无人知晓,9.1,116345,是枝裕和,2004,141,日本,日语,剧情,剧情,柳乐优弥,北浦爱
新宿事件,7.4,92491,尔冬升,2009,119,香港,汉语普通话,剧情,惊悚,成龙,竹中直人
末日侵袭,6.1,10044,尼尔·马歇尔,2008,105,英国,英语,动作,科幻,罗娜·迈特拉,鲍勃·霍斯金斯
同居蜜友,6.6,8084,马伟豪,2001,102,香港,粤语,喜剧,爱情,郑秀文,梁朝伟
跨国银行,6.4,9823,汤姆·提克威,2009,118,美国,英语,动作,悬疑,克里夫·欧文,娜奥米·沃茨
淘气少女求爱记,6.4,7077,尹学烈,2003,96,韩国,韩语,剧情,喜剧,张娜拉,朴正哲
所罗门王凯恩,5.8,6766,Michael J. Bassett,2009,104,法国,英语,动作,奇幻,RachelHurd-Wood,JamesPurefoy
少年往事,7.8,6231,陈建忠,2003,88,香港,汉语普通话,剧情,剧情,翟天临,马晓倩
少女杀手阿墨,6.4,5754,北村龙平,2003,128,日本,日语,剧情,动作,上户彩,小栗旬
裂口女,5.1,5295,白石晃士,2007,90,日本,日语,恐怖,恐怖,佐藤江梨子,加藤晴彦
生死劫,7.7,4978,李少红,2005,90,中国大陆,汉语普通话,剧情,剧情,吴军忱,周迅
先婚后友,6.2,4623,迈克尔·伊恩·布莱克,2006,90,美国,英语,喜剧,爱情,贾森·比格斯,艾拉·菲舍尔
阿娘,6.5,4331,安相勋,2006,97,韩国,韩语,爱情,悬疑,宋允儿,李栋旭
五月魔女,6.7,5008,拉齐·马凯,2002,93,美国,英语,剧情,悬疑,安吉拉·贝蒂斯,杰瑞米·西斯托
欢乐树的朋友们：第二发球,9.2,4111,Rhode Montijo,2003,60,美国,英语,喜剧,动画,Michael'Lippy'Lipman,PeterHerrmann
未竟一生,7.8,4541,拉斯·霍尔斯道姆,2005,108,美国,英语,剧情,剧情,罗伯特·雷德福,詹妮弗·洛佩兹
爱情万岁,6.7,4253,崔允信,2008,98,香港,粤语,爱情,爱情,钟舒漫,陈柏宇
我爱芳邻,6.8,4508,大谷健太郎,2006,106,日本,日语,爱情,运动,长泽雅美,速水直道
凤凰劫,6.5,4185,约翰·摩尔,2004,113,美国,英语,剧情,动作,丹尼斯·奎德,泰瑞斯·吉布森
天王流氓,7.8,4520,保罗·麦奎根,2000,103,德国,英语,剧情,惊悚,马尔科姆·麦克道威尔,大卫·休里斯
中天,5.7,4048,曹东吾,2006,105,韩国,韩语,剧情,动作,许峻豪,金泰熙
追爱自由行,6.3,4409,斯蒂芬·贝尔伯,2008,94,美国,英语,剧情,喜剧,詹妮弗·安妮斯顿,史蒂夫·茨恩
蜡笔小新：呼风唤雨！光荣的烤肉之路,8.2,4167,Yûji Mutou,2003,88,日本,日语,动画,动画,矢岛晶子,楢桥美纪
处女心经,7.0,4229,洪尚秀,2000,126,韩国,韩语,剧情,爱情,李恩珠,文成根
老友有钱,6.4,4150,妮可·哈罗芬瑟,2006,88,美国,英语,剧情,爱情,凯瑟琳·基纳,詹森·艾萨克
亲爱的,6.4,4140,叶念琛,2008,89,香港,汉语普通话,惊悚,惊悚,曾恺玹,安志杰
美丽时光,7.8,2011,张作骥,2001,109,台湾,客家话,剧情,惊悚,范植伟,高盟杰
崎路父子情,7.8,2132,安南德·图克尔,2007,92,英国,英语,剧情,家庭,科林·费尔斯,吉姆·布劳德本特
男人的未来是女人,7.0,2072,洪尚秀,2004,88,法国,韩语,剧情,爱情,成贤娥,金泰宇
阿孖有难,5.6,1928,彭发,2004,93,香港,粤语,喜剧,犯罪,郑伊健,蔡卓妍
疯狂粉丝王,5.0,1954,葛民辉,2007,94,香港,粤语,喜剧,爱情,葛民辉,蔡卓妍
同性之光,7.0,1985,艾维特·刘易斯,2002,90,美国,英语,剧情,喜剧,JustinHerwick,ShanePowers
巴阿里亚,7.5,2213,朱塞佩·托纳多雷,2009,150,意大利,意大利语,剧情,喜剧,马格蕾斯·梅德,雷欧·波瓦
反叛的鲁路修特别篇：暗黑的背叛,8.9,2237,谷口悟朗,2008,117,日本,日语,动画,动画,福山润,樱井孝宏
绝代艳后,7.6,2243,Francis Leclerc,2006,90,法国,法语,剧情,爱情,KarineVanasse,OlivierAubin
偷心俏佳人,6.6,2180,大卫·米尔金,2001,123,美国,英语,喜剧,爱情,詹妮弗·洛芙·休伊特,吉恩·哈克曼
机动警察：废弃物13号,7.8,2303,高山文彦,2002,102,日本,日语,动作,科幻,田中敦子,平田广明
异魔禁区,6.8,2352,斯图尔特·戈登,2001,95,西班牙,英语,悬疑,惊悚,EzraGodden,FranciscoRabal
蓝色果冻海,7.9,2074,Shira Geffen,2007,78,法国,希伯来语,剧情,剧情,SarahAdler,TsiporAizen
拒绝再战,7.3,2150,金伯莉·皮尔斯,2008,112,美国,英语,剧情,战争,瑞恩·菲利普,约瑟夫·高登-莱维特
杰克和露丝的情歌,7.8,2130,丽贝卡·米勒,2005,112,美国,英语,剧情,剧情,丹尼尔·戴-刘易斯,卡米拉·贝勒
爱你爱我,6.8,1760,林正盛,2001,105,台湾,台语,剧情,爱情,李心洁,张震
百分百感觉2003,6.1,1856,马伟豪 (Joe Ma),2003,97,香港,粤语,喜剧,爱情,余文乐,王嘉明
上海红美丽,5.2,1206,奥斯卡·L·科斯托,2007,106,美国,英语,悬疑,悬疑,邬君梅,理查德·布基
时装店风波,7.1,1259,Ingo Rasper,2007,105,德国,德语,喜剧,同性,埃德加·泽尔格,弗罗里安·巴西奥罗麦
戴手铐的旅客,7.7,1647,于洋,1980,102,中国大陆,汉语普通话,剧情,动作,于洋,马树超
罗马假日,9.0,537874,威廉·惠勒,1953,118,美国,英语,剧情,喜剧,奥黛丽·赫本,格利高里·派克
乱世佳人,9.2,370115,维克多·弗莱明,1939,238,美国,英语,剧情,爱情,费雯·丽,克拉克·盖博
十二怒汉,9.4,239143,西德尼·吕美特,1957,96,美国,英语,剧情,剧情,亨利·方达,马丁·鲍尔萨姆
魂断蓝桥,8.8,157552,茂文·勒鲁瓦,1940,108,美国,英语,剧情,爱情,费雯·丽,罗伯特·泰勒
罗生门,8.7,165343,黑泽明,1950,88,日本,日语,剧情,悬疑,三船敏郎,千秋实
摩登时代,9.2,135229,查理·卓别林,1936,87,美国,英语,剧情,喜剧,查理·卓别林,宝莲·高黛
卡萨布兰卡,8.6,152877,迈克尔·柯蒂兹,1942,102,美国,英语,剧情,爱情,亨弗莱·鲍嘉,英格丽·褒曼
控方证人,9.6,176141,比利·怀德,1957,116,美国,英语,剧情,悬疑,泰隆·鲍华,玛琳·黛德丽
雨中曲,9.0,118175,斯坦利·多南,1952,103,美国,英语,喜剧,爱情,吉恩·凯利,唐纳德·奥康纳
七武士,9.2,102941,黑泽明,1954,160,日本,日语,剧情,动作,三船敏郎,志村乔
茜茜公主,8.5,79887,恩斯特·马里施卡,1955,102,奥地利,德语,剧情,喜剧,罗密·施奈德,卡尔海因茨·伯姆
白雪公主和七个小矮人,8.2,64208,戴维·汉德,1937,83,美国,英语,爱情,动画,阿德里亚娜·卡塞洛蒂,罗伊·阿特威尔
后窗,8.5,84766,阿尔弗雷德·希区柯克,1954,112,美国,英语,悬疑,惊悚,詹姆斯·斯图尔特,格蕾丝·凯利
东京物语,9.2,67481,小津安二郎,1953,136,日本,日语,剧情,家庭,笠智众,原节子
城市之光,9.3,60608,查理·卓别林,1931,87,美国,英语,剧情,喜剧,查理·卓别林,弗吉尼亚·切瑞尔
公民凯恩,8.6,60397,奥逊·威尔斯,1941,119,美国,英语,剧情,悬疑,奥逊·威尔斯,约瑟夫·科顿
四百击,8.7,59243,弗朗索瓦·特吕弗,1959,99,法国,法语,剧情,犯罪,让-皮埃尔·利奥德,克莱尔·莫里耶
偷自行车的人,8.9,51049,维托里奥·德·西卡,1948,89,意大利,意大利语,剧情,犯罪,兰贝托·马乔拉尼,恩佐·斯泰奥拉
西北偏北,8.2,47827,阿尔弗雷德·希区柯克,1959,136,美国,英语,动作,悬疑,加里·格兰特,爱娃·玛丽·森特
迷魂记,8.5,47325,阿尔弗雷德·希区柯克,1958,128,美国,英语,爱情,悬疑,詹姆斯·斯图尔特,金·诺瓦克
仙履奇缘,8.2,36714,克莱德·杰洛尼米,1950,74,美国,英语,爱情,动画,艾琳·伍兹,EleanorAudley
蝴蝶梦,8.3,41235,阿尔弗雷德·希区柯克,1940,130,美国,英语,剧情,爱情,劳伦斯·奥利弗,琼·芳登
木偶奇遇记,8.2,29815,汉密尔顿·卢斯科,1940,88,美国,英语,剧情,动画,梅尔·布兰科,弗兰基·达罗
大独裁者,9.0,37342,查理·卓别林,1940,125,美国,英语,剧情,喜剧,查理·卓别林,宝莲·高黛
生活多美好,9.2,43584,弗兰克·卡普拉,1946,130,美国,英语,剧情,爱情,詹姆斯·斯图尔特,唐娜·里德
绿野仙踪,8.1,30261,维克多·弗莱明,1939,101,美国,英语,歌舞,奇幻,朱迪·加兰,弗兰克·摩根
第七封印,8.3,31239,英格玛·伯格曼,1957,96,瑞典,瑞典语,剧情,奇幻,古纳尔·布约恩施特兰德,本特·埃切罗特
野草莓,8.7,31513,英格玛·伯格曼,1957,91,瑞典,瑞典语,剧情,爱情,维克多·斯约斯特洛姆,毕比·安德松
茜茜公主2,8.4,28538,恩斯特·马里施卡,1956,107,奥地利,德语,剧情,爱情,罗密·施奈德,卡尔海因茨·伯姆
睡美人,8.0,23881,Clyde Geronimi,1959,75,美国,英语,爱情,动画,MaryCosta,BillShirley
电话谋杀案,8.7,30863,阿尔弗雷德·希区柯克,1954,105,美国,英语,悬疑,惊悚,雷·米兰德,格蕾丝·凯利
一夜风流,8.7,29838,弗兰克·卡普拉,1934,105,美国,英语,喜剧,爱情,克拉克·盖博,克劳黛·考尔白
广岛之恋,7.7,24288,阿伦·雷乃,1959,90,法国,法语,剧情,爱情,埃玛妞·丽娃,冈田英次
巴黎圣母院,8.0,22666,让·德拉努瓦,1956,115,意大利,法语,剧情,历史,吉娜·罗洛布里吉达,安东尼·奎恩
出水芙蓉,8.5,25596,乔治·西德尼,1944,101,美国,英语,喜剧,歌舞,雷德·斯克尔顿,埃丝特·威廉斯
欲望号街车,8.3,26912,伊利亚·卡赞,1951,122,美国,英语,剧情,剧情,费雯·丽,马龙·白兰度
日落大道,8.7,28747,比利·怀德,1950,110,美国,英语,剧情,黑色电影,威廉·霍尔登,葛洛丽亚·斯旺森
小城之春,8.6,26550,费穆,1948,93,中国大陆,汉语普通话,剧情,爱情,李纬,韦伟
爱德华大夫,8.2,26798,阿尔弗雷德·希区柯克,1945,111,美国,英语,爱情,悬疑,英格丽·褒曼,格利高里·派克
热情如火,8.8,28501,比利·怀德,1959,120,美国,英语,喜剧,喜剧,玛丽莲·梦露,托尼·柯蒂斯
茜茜公主3,8.4,23383,恩斯特·马里施卡,1957,109,奥地利,德语,剧情,爱情,罗密·施奈德,卡尔海因茨·伯姆
小鹿斑比,8.4,18770,戴维·汉德,1942,70,美国,英语,剧情,动画,哈迪·奥尔布赖特,StanAlexander
百万英镑,8.0,20514,罗纳德·尼姆,1954,90,英国,英语,喜剧,爱情,格利高里·派克,罗纳德·斯夸尔
简爱,7.8,19243,罗伯特·斯蒂文森,1943,97,美国,英语,剧情,爱情,奥逊·威尔斯,琼·芳登
淘金记,9.0,22631,查理·卓别林,1925,95,美国,英语,喜剧,爱情,查理·卓别林,马克·斯旺
小飞侠,8.3,18041,克莱德·杰洛尼米,1953,77,美国,英语,动画,歌舞,鲍比·德里斯科尔,凯瑟琳·博蒙特
宾虚,8.6,22396,威廉·惠勒,1959,212,美国,英语,剧情,动作,查尔登·海斯顿,杰克·霍金斯
小飞象,8.2,16809,宾·沙普斯坦,1941,64,美国,英语,动画,歌舞,JamesBaskett,赫尔曼·宾
大路,9.0,19541,费德里科·费里尼,1954,108,意大利,意大利语,剧情,剧情,安东尼·奎恩,朱丽叶塔·马西纳
大都会,9.0,19260,弗里茨·朗,1927,153,德国,无对白,剧情,科幻,阿弗莱德·阿贝尔,古斯塔夫·佛力施
M就是凶手,8.3,18855,弗里茨·朗,1931,117,德国,德语,剧情,惊悚,彼得·洛,艾伦·维德曼
三毛流浪记,8.1,10377,赵明,1949,73,中国大陆,汉语普通话,剧情,喜剧,王龙基,关宏达
龙凤配,7.7,17664,比利·怀德,1954,113,美国,英语,剧情,喜剧,亨弗莱·鲍嘉,奥黛丽·赫本
七年之痒,7.4,17355,比利·怀德,1955,105,美国,英语,喜剧,爱情,玛丽莲·梦露,汤姆·伊威尔
光荣之路,9.0,19140,斯坦利·库布里克,1957,88,美国,英语,剧情,战争,柯克·道格拉斯,拉尔夫·米克
寻子遇仙记,9.1,18183,查理·卓别林,1921,68,美国,英语,剧情,喜剧,查理·卓别林,卡尔·米勒
战舰波将金号,8.6,14588,谢尔盖·爱森斯坦,1925,75,苏联,无对白,剧情,历史,亚历山大·安东诺夫,VladimirBarsky
夺魂索,8.0,17007,阿尔弗雷德·希区柯克,1948,80,美国,英语,悬疑,惊悚,詹姆斯·斯图尔特,约翰·道尔
桂河大桥,8.4,15724,大卫·里恩,1957,161,英国,英语,剧情,历史,威廉·霍尔登,亚历克·吉尼斯
双重赔偿,8.5,18000,比利·怀德,1944,107,美国,英语,惊悚,犯罪,弗莱德·麦克莫瑞,芭芭拉·斯坦威克
马路天使,8.5,14377,袁牧之,1937,91,中国大陆,汉语普通话,剧情,喜剧,周璇,赵丹
美人计,7.7,15453,阿尔弗雷德·希区柯克,1946,101,美国,英语,剧情,爱情,加里·格兰特,英格丽·褒曼
小姐与流浪汉,8.4,12369,克莱德·杰洛尼米,1955,76,美国,英语,喜剧,爱情,芭芭拉·卢迪,拉里·罗伯茨
铁道游击队,7.5,10416,赵明,1956,80,中国大陆,汉语普通话,战争,战争,曹会渠,秦怡
你逃我也逃,9.2,16143,恩斯特·刘别谦,1942,99,美国,英语,喜剧,战争,卡洛·朗白,杰克·本尼
生之欲,9.1,15612,黑泽明,1952,143,日本,日语,剧情,剧情,志村乔,千秋实
卡比利亚之夜,9.0,14955,费德里科·费里尼,1957,110,意大利,意大利语,剧情,爱情,朱丽叶塔·马西纳,弗朗索瓦·佩里埃
爱丽丝梦游仙境,8.5,10430,克莱德·杰洛尼米,1951,75,美国,英语,动画,歌舞,凯瑟琳·博蒙特,埃德·温
正午,8.4,14039,弗雷德·金尼曼,1952,85,美国,英语,剧情,西部,加里·库珀,格蕾丝·凯利
神女,9.0,13642,吴永刚,1934,76,中国大陆,无对白,剧情,剧情,阮玲玉,黎铿
傲慢与偏见,8.2,10954,罗伯特·Z·伦纳德,1940,118,美国,英语,剧情,爱情,葛丽亚·嘉逊,劳伦斯·奥利弗
彗星美人,8.6,13459,约瑟夫·L·曼凯维奇,1950,138,美国,英语,剧情,剧情,贝蒂·戴维斯,安妮·巴克斯特
三十九级台阶,7.8,12223,阿尔弗雷德·希区柯克,1935,86,英国,英语,悬疑,惊悚,罗伯特·多纳特,玛德琳·卡洛
第三人,8.3,12687,卡罗尔·里德,1949,105,英国,英语,悬疑,惊悚,约瑟夫·科顿,阿莉达·瓦利
董存瑞,7.1,8772,郭维,1955,100,中国大陆,汉语普通话,剧情,传记,张良,杨启天
火车怪客,7.8,12274,阿尔弗雷德·希区柯克,1951,101,美国,英语,惊悚,犯罪,法利·格兰杰,鲁思·罗曼
晚春,8.7,12031,小津安二郎,1949,108,日本,日语,剧情,家庭,笠智众,原节子
幻想曲,8.9,10558,詹姆斯·阿尔格,1940,125,美国,英语,动画,音乐,华特·迪士尼,列奥波德·斯托科夫斯基
鸡毛信,7.2,8312,石挥,1954,76,中国大陆,汉语普通话,儿童,战争,蔡元元,马立
狼牙山五壮士,7.2,8208,史文炽,1958,82,中国大陆,汉语普通话,战争,战争,李长华,高保成
雨月物语,8.5,11440,沟口健二,1953,96,日本,日语,剧情,战争,田中绢代,森雅之
蜘蛛巢城,8.5,11376,黑泽明,1957,110,日本,日语,剧情,动作,三船敏郎,山田五十铃
爱丽丝梦游仙境,8.2,8171,诺曼·Z·麦克劳德,1933,76,美国,英语,剧情,奇幻,理查德·阿伦,罗斯科·阿蒂斯
小公主,8.4,9296,沃尔特·朗,1939,93,美国,英语,剧情,喜剧,秀兰·邓波儿,理查德·格林
十二怒汉,9.4,8473,富兰克林·沙夫纳,1954,52,美国,英语,剧情,悬疑,罗伯特·卡明斯,法兰奇·汤恩
卡里加里博士的小屋,8.7,10011,罗伯特·维内,1920,71,德国,无,悬疑,恐怖,维尔纳·克劳斯,康拉德·韦特
将军号,9.0,11229,巴斯特·基顿,1926,67,美国,无对白,剧情,喜剧,巴斯特·基顿,玛丽昂·马克
西线无战事,8.6,9365,刘易斯·迈尔斯通,1930,145,美国,英语,剧情,动作,路易斯·沃海姆,刘·艾尔斯
甜姐儿,7.5,9557,斯坦利·多南,1957,103,美国,英语,喜剧,爱情,弗雷德·阿斯泰尔,奥黛丽·赫本
扒手,8.3,9324,罗伯特·布列松,1959,75,法国,法语,剧情,犯罪,马丁·拉萨尔,玛莉卡·格林
茶花女,8.3,8509,乔治·库克,1936,109,美国,英语,剧情,爱情,葛丽泰·嘉宝,罗伯特·泰勒
上甘岭,7.7,6919,沙蒙,1956,124,中国大陆,汉语普通话,剧情,战争,高保成,徐林格
码头风云,7.9,9063,伊利亚·卡赞,1954,108,美国,英语,剧情,爱情,马龙·白兰度,卡尔·莫尔登
杀手,8.6,9529,斯坦利·库布里克,1956,85,美国,英语,惊悚,犯罪,斯特林·海登,小伊莱莎·库克
王子复仇记,8.2,8038,劳伦斯·奥利弗,1948,155,英国,英语,剧情,剧情,劳伦斯·奥利弗,巴兹尔·悉尼
死囚越狱,8.5,9006,罗伯特·布列松,1956,101,法国,法语,剧情,惊悚,弗朗索瓦·莱特瑞尔,CharlesLeClainche
五朵金花,7.9,6597,王家乙,1959,105,中国大陆,汉语普通话,爱情,歌舞,杨丽坤,莫梓江
呼啸山庄,7.8,7092,威廉·惠勒,1939,104,美国,英语,剧情,爱情,梅尔·奥勃朗,劳伦斯·奥利弗
马耳他之鹰,7.5,8007,约翰·休斯顿,1941,101,美国,英语,悬疑,犯罪,亨弗莱·鲍嘉,玛丽·阿斯特
恶魔,8.5,9365,亨利-乔治·克鲁佐,1955,114,法国,法语,剧情,悬疑,西蒙·西涅莱,薇拉·克劳佐
福尔摩斯二世,9.4,8645,巴斯特·基顿,1924,45,美国,无对白,喜剧,奇幻,巴斯特·基顿,凯瑟琳·麦奎尔
马戏团,9.1,7603,查理·卓别林,1928,71,美国,英语,喜剧,爱情,阿尔·欧内斯特·加西亚,梅尔纳·肯尼迪
诺斯费拉图,8.2,7156,F·W·茂瑙,1922,94,德国,无对白,恐怖,奇幻,马科斯·夏瑞克,约翰·戈托特
无因的反叛,8.1,7080,尼古拉斯·雷,1955,111,美国,英语,剧情,爱情,詹姆斯·迪恩,娜塔莉·伍德
战争与和平,7.6,6300,金·维多,1956,208,意大利,英语,剧情,爱情,奥黛丽·赫本,亨利·方达
悲惨世界,8.8,5954,让-保罗·勒沙努瓦,1958,210,法国,法语,剧情,剧情,让·迦本,布尔维尔
平原游击队,7.5,5160,苏里,1955,90,中国大陆,汉语普通话,剧情,战争,郭振清,张莹
金玉盟,8.3,7459,莱奥·麦卡雷,1957,115,美国,英语,剧情,喜剧,加里·格兰特,黛博拉·蔻儿
恐惧的代价,8.7,7077,亨利-乔治·克鲁佐,1953,131,法国,法语,剧情,惊悚,伊夫·蒙当,夏尔·瓦内尔
关山飞渡,8.3,6440,约翰·福特,1939,96,美国,英语,剧情,动作,约翰·韦恩,克莱尔·特雷弗
罗马，不设防的城市,7.9,5991,罗伯托·罗西里尼,1945,103,意大利,意大利语,剧情,战争,阿尔多·法布里齐,安娜·马尼亚尼
日出,8.8,6599,F·W·茂瑙,1927,94,美国,英语,剧情,爱情,乔治·奥布莱恩,珍妮·盖诺
历劫佳人,8.1,6518,奥逊·威尔斯,1958,95,美国,英语,惊悚,犯罪,查尔登·海斯顿,珍妮特·利
麦秋,8.8,6395,小津安二郎,1951,124,日本,日语,剧情,家庭,原节子,笠智众
楢山节考,8.7,5775,木下惠介,1958,98,日本,日语,剧情,剧情,田中绢代,高桥贞二
林则徐,7.3,4464,郑君里,1959,100,中国大陆,汉语普通话,传记,历史,赵丹,韩非
永不消逝的电波,7.7,4819,王苹,1958,110,中国大陆,汉语普通话,战争,战争,孙道临,袁霞
贵妇失踪记,8.0,6486,阿尔弗雷德·希区柯克,1938,96,英国,英语,喜剧,悬疑,玛格丽特·洛克伍德,迈克尔·雷德格瑞夫
游戏规则,8.4,5932,让·雷诺阿,1939,110,法国,法语,剧情,喜剧,诺拉·格雷戈尔,波莱特·杜博斯特
一个国家的诞生,7.9,5262,大卫·格里菲斯,1915,190,美国,无对白,剧情,爱情,丽莲·吉许,梅·马什
雁南飞,8.5,5851,米哈依尔·卡拉托佐夫,1957,95,苏联,俄语,剧情,爱情,塔吉娅娜·萨莫依洛娃,阿列克谢·巴塔洛夫
十诫,8.2,5646,塞西尔·B·戴米尔,1956,220,美国,英语,剧情,历史,查尔登·海斯顿,尤·伯连纳
畸形人,7.9,6011,托德·布朗宁,1932,64,美国,英语,剧情,恐怖,华莱士·福特,丽拉·海厄姆斯
史密斯先生到华盛顿,8.7,6523,弗兰克·卡普拉,1939,129,美国,英语,剧情,剧情,詹姆斯·斯图尔特,琪恩·亚瑟
